legacy_key,modern_id
minecraft:log:0,oak_log
minecraft:log:1,spruce_log
minecraft:log:2,birch_log
minecraft:log:3,jungle_log
minecraft:log2:0,acacia_log
minecraft:log2:1,dark_oak_log
minecraft:planks:0,oak_planks
minecraft:planks:1,spruce_planks
minecraft:planks:2,birch_planks
minecraft:planks:3,jungle_planks
minecraft:planks:4,acacia_planks
minecraft:planks:5,dark_oak_planks
minecraft:dye:0,ink_sac
minecraft:dye:1,red_dye
minecraft:dye:2,green_dye
minecraft:dye:3,cocoa_beans
minecraft:dye:4,lapis_lazuli
minecraft:dye:5,purple_dye
minecraft:dye:6,cyan_dye
minecraft:dye:7,light_gray_dye
minecraft:dye:8,gray_dye
minecraft:dye:9,pink_dye
minecraft:dye:10,lime_dye
minecraft:dye:11,yellow_dye
minecraft:dye:12,light_blue_dye
minecraft:dye:13,magenta_dye
minecraft:dye:14,orange_dye
minecraft:dye:15,bone_meal
minecraft:wool:0,white_wool
minecraft:wool:1,orange_wool
minecraft:wool:2,magenta_wool
minecraft:wool:3,light_blue_wool
minecraft:wool:4,yellow_wool
minecraft:wool:5,lime_wool
minecraft:wool:6,pink_wool
minecraft:wool:7,gray_wool
minecraft:wool:8,light_gray_wool
minecraft:wool:9,cyan_wool
minecraft:wool:10,purple_wool
minecraft:wool:11,blue_wool
minecraft:wool:12,brown_wool
minecraft:wool:13,green_wool
minecraft:wool:14,red_wool
minecraft:wool:15,black_wool
minecraft:stone:0,stone
minecraft:stone:1,granite
minecraft:stone:2,polished_granite
minecraft:stone:3,diorite
minecraft:stone:4,polished_diorite
minecraft:stone:5,andesite
minecraft:stone:6,polished_andesite
minecraft:coal:0,coal
minecraft:coal:1,charcoal
